SLV,83,68,95,,88,85,95,87,94,76,74,78,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,18,40,29,23,34,15,25,10,22,20,23,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUI,58,43,45,38,40,52,43,39,47,50,58,30,42,55,67,60,57,40,24,57,57,62,39,63,42,51,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,67,55,33,34,34,44,34,39,53,46,37,18,20,31,35,25,48,18,21,33,36,17,21,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,52,63,73,58,74,56,62,51,65,50,39,36,55,49,75,58,67,34,58,51,50,44,60,59,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,51,37,60,57,60,71,54,72,56,53,41,43,61,46,48,48,68,31,41,47,19,40,35,41,39,24,21,28,32,13,17,29,22,25,21,19,12,14,14,13,10,13,10,11,11,11,10,12,6,9,,,,,,,,
SYR,56,48,54,72,88,89,92,83,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,7,12,12,21,13,5,5,5,7,6,14,15,23,35,19,21,22,29,47,42,52,47,34,33,41,37,25,33,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJK,44,62,64,50,56,42,57,56,45,61,71,72,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,48,69,58,,46,51,62,44,34,46,63,61,72,62,60,59,66,,77,,,72,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,99,94,82,82,86,86,85,77,76,79,70,73,78,76,62,72,59,59,68,58,65,60,63,52,57,52,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,79,76,75,80,65,87,77,81,77,88,,,81,75,,72,59,,74,,,,,,,33,39,45,30,25,,19,28,30,27,29,26,,,,,,,,,,,,,,,,,,,,,
TUR,35,29,20,17,17,12,6,8,8,8,17,19,21,32,8,14,11,18,16,17,25,19,25,28,24,34,24,33,16,27,21,30,26,,,,,,16,,,,,,,,,,,,,,,,,,,
TWN,9,5,18,3,8,14,8,19,11,9,9,10,7,6,16,7,9,8,9,5,14,20,12,13,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,109,106,104,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAE,,,,,,,100,,101,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,95,98,100,94,95,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,14,30,11,6,16,19,15,22,14,15,6,22,9,11,14,20,8,13,12,8,6,18,23,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK,9,7,22,20,9,22,17,25,19,23,28,19,13,20,10,27,31,22,20,17,16,5,10,7,14,5,18,10,20,11,10,11,10,6,11,10,3,4,3,3,2,5,9,5,5,5,6,5,4,4,,,,,,,,
URY,92,93,93,84,93,82,85,,85,87,,82,65,67,65,84,77,70,72,70,69,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,4,1,1,2,3,3,2,3,6,3,5,5,2,2,3,3,2,3,10,3,4,2,11,1,7,2,5,3,5,6,5,1,2,4,2,3,1,5,2,1,3,3,2,,,,,,,,,,,,,,,
USS,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,3,1,6,1,4,2,9,1,,2,1,4,1,1,1,2,2,3,2,1,1,1,1,1,2,,,6
UZB,74,77,58,,,,66,26,42,33,34,57,,45,52,48,27,38,59,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,79,86,96,86,92,90,90,90,94,90,88,73,75,80,78,52,49,79,80,75,81,,,,,,,,50,,,,,,,27,24,,,,,,,,,,,,,,,,,,,,,
VNM,3,11,5,10,7,9,31,11,15,12,3,13,15,4,4,5,10,5,3,9,10,7,4,6,9,10,8,23,9,5,11,10,5,7,6,5,,15,4,,14,10,13,,,,,,,,,,,,,,,
YUG,,,,,,,,,,,,,,,,29,31,23,14,10,20,24,17,,,12,16,25,11,19,18,20,21,14,18,12,8,9,10,10,12,11,5,10,7,8,4,7,10,8,7,7,9,4,,,,
ZWE,,,,94,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
